Epoch 0: Loss: 0.016393, Rec Loss: 0.016367, FC Loss: 0.000026
Epoch 1: Loss: 0.005209, Rec Loss: 0.005206, FC Loss: 0.000003
Epoch 2: Loss: 0.003786, Rec Loss: 0.003781, FC Loss: 0.000005
Epoch 3: Loss: 0.002835, Rec Loss: 0.002830, FC Loss: 0.000005
Epoch 4: Loss: 0.002290, Rec Loss: 0.002287, FC Loss: 0.000004
Epoch 5: Loss: 0.001989, Rec Loss: 0.001986, FC Loss: 0.000003
Epoch 6: Loss: 0.001769, Rec Loss: 0.001766, FC Loss: 0.000003
Epoch 7: Loss: 0.001679, Rec Loss: 0.001676, FC Loss: 0.000003
Epoch 8: Loss: 0.001477, Rec Loss: 0.001474, FC Loss: 0.000002
Epoch 9: Loss: 0.001470, Rec Loss: 0.001468, FC Loss: 0.000002
Epoch 10: Loss: 0.001299, Rec Loss: 0.001297, FC Loss: 0.000002
Epoch 11: Loss: 0.001263, Rec Loss: 0.001261, FC Loss: 0.000001
Epoch 12: Loss: 0.001152, Rec Loss: 0.001150, FC Loss: 0.000001
Epoch 13: Loss: 0.001162, Rec Loss: 0.001161, FC Loss: 0.000001
Epoch 14: Loss: 0.001034, Rec Loss: 0.001033, FC Loss: 0.000001
Epoch 15: Loss: 0.001041, Rec Loss: 0.001040, FC Loss: 0.000001
Epoch 16: Loss: 0.001009, Rec Loss: 0.001008, FC Loss: 0.000001
Epoch 17: Loss: 0.000964, Rec Loss: 0.000963, FC Loss: 0.000001
Epoch 18: Loss: 0.000895, Rec Loss: 0.000894, FC Loss: 0.000001
Epoch 19: Loss: 0.000871, Rec Loss: 0.000870, FC Loss: 0.000001
Epoch 20: Loss: 0.000882, Rec Loss: 0.000881, FC Loss: 0.000001
Epoch 21: Loss: 0.000873, Rec Loss: 0.000872, FC Loss: 0.000001
Epoch 22: Loss: 0.000773, Rec Loss: 0.000772, FC Loss: 0.000001
Epoch 23: Loss: 0.000764, Rec Loss: 0.000764, FC Loss: 0.000001
