Epoch 0: Loss: 0.000775, Rec Loss: 0.000769, FC Loss: 0.000006
Epoch 1: Loss: 0.000238, Rec Loss: 0.000238, FC Loss: 0.000000
Epoch 2: Loss: 0.000203, Rec Loss: 0.000203, FC Loss: 0.000000
Epoch 3: Loss: 0.000183, Rec Loss: 0.000183, FC Loss: 0.000000
Epoch 4: Loss: 0.000201, Rec Loss: 0.000201, FC Loss: 0.000000
Epoch 5: Loss: 0.000184, Rec Loss: 0.000183, FC Loss: 0.000000
Epoch 6: Loss: 0.000179, Rec Loss: 0.000179, FC Loss: 0.000000
Epoch 7: Loss: 0.000188, Rec Loss: 0.000188, FC Loss: 0.000000
Epoch 8: Loss: 0.000191, Rec Loss: 0.000191, FC Loss: 0.000000
Epoch 9: Loss: 0.000186, Rec Loss: 0.000186, FC Loss: 0.000000
Epoch 10: Loss: 0.000180, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 11: Loss: 0.000182, Rec Loss: 0.000182, FC Loss: 0.000000
Epoch 12: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 13: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 14: Loss: 0.000203, Rec Loss: 0.000202, FC Loss: 0.000000
Epoch 15: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 16: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 17: Loss: 0.000191, Rec Loss: 0.000190, FC Loss: 0.000000
Epoch 18: Loss: 0.000192, Rec Loss: 0.000191, FC Loss: 0.000000
Epoch 19: Loss: 0.000197, Rec Loss: 0.000196, FC Loss: 0.000000
Epoch 20: Loss: 0.000166, Rec Loss: 0.000166, FC Loss: 0.000000
Epoch 21: Loss: 0.000208, Rec Loss: 0.000208, FC Loss: 0.000000
Epoch 22: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 23: Loss: 0.000181, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 24: Loss: 0.000182, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 25: Loss: 0.000192, Rec Loss: 0.000192, FC Loss: 0.000000
Epoch 26: Loss: 0.000181, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 27: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 28: Loss: 0.000202, Rec Loss: 0.000201, FC Loss: 0.000000
Epoch 29: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 30: Loss: 0.000171, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 31: Loss: 0.000173, Rec Loss: 0.000173, FC Loss: 0.000000
Epoch 32: Loss: 0.000191, Rec Loss: 0.000191, FC Loss: 0.000000
Epoch 33: Loss: 0.000178, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 34: Loss: 0.000189, Rec Loss: 0.000189, FC Loss: 0.000000
Epoch 35: Loss: 0.000183, Rec Loss: 0.000183, FC Loss: 0.000000
Epoch 36: Loss: 0.000165, Rec Loss: 0.000165, FC Loss: 0.000000
Epoch 37: Loss: 0.000194, Rec Loss: 0.000193, FC Loss: 0.000000
Epoch 38: Loss: 0.000189, Rec Loss: 0.000189, FC Loss: 0.000000
Epoch 39: Loss: 0.000173, Rec Loss: 0.000173, FC Loss: 0.000000
Epoch 40: Loss: 0.000193, Rec Loss: 0.000193, FC Loss: 0.000000
Epoch 41: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 42: Loss: 0.000173, Rec Loss: 0.000173, FC Loss: 0.000000
Epoch 43: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 44: Loss: 0.000177, Rec Loss: 0.000177, FC Loss: 0.000000
Epoch 45: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 46: Loss: 0.000190, Rec Loss: 0.000190, FC Loss: 0.000000
Epoch 47: Loss: 0.000211, Rec Loss: 0.000211, FC Loss: 0.000000
Epoch 48: Loss: 0.000177, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 49: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 50: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 51: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 52: Loss: 0.000186, Rec Loss: 0.000185, FC Loss: 0.000000
Epoch 53: Loss: 0.000180, Rec Loss: 0.000179, FC Loss: 0.000000
Epoch 54: Loss: 0.000207, Rec Loss: 0.000207, FC Loss: 0.000000
Epoch 55: Loss: 0.000167, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 56: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 57: Loss: 0.000171, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 58: Loss: 0.000176, Rec Loss: 0.000176, FC Loss: 0.000000
Epoch 59: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 60: Loss: 0.000196, Rec Loss: 0.000195, FC Loss: 0.000000
Epoch 61: Loss: 0.000173, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 62: Loss: 0.000198, Rec Loss: 0.000198, FC Loss: 0.000000
Epoch 63: Loss: 0.000194, Rec Loss: 0.000193, FC Loss: 0.000000
Epoch 64: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 65: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 66: Loss: 0.000185, Rec Loss: 0.000185, FC Loss: 0.000000
Epoch 67: Loss: 0.000180, Rec Loss: 0.000180, FC Loss: 0.000000
Epoch 68: Loss: 0.000198, Rec Loss: 0.000198, FC Loss: 0.000000
Epoch 69: Loss: 0.000164, Rec Loss: 0.000164, FC Loss: 0.000000
Epoch 70: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 71: Loss: 0.000185, Rec Loss: 0.000185, FC Loss: 0.000000
Epoch 72: Loss: 0.000189, Rec Loss: 0.000189, FC Loss: 0.000000
Epoch 73: Loss: 0.000177, Rec Loss: 0.000177, FC Loss: 0.000000
Epoch 74: Loss: 0.000167, Rec Loss: 0.000167, FC Loss: 0.000000
Epoch 75: Loss: 0.000198, Rec Loss: 0.000198, FC Loss: 0.000000
Epoch 76: Loss: 0.000172, Rec Loss: 0.000172, FC Loss: 0.000000
Epoch 77: Loss: 0.000182, Rec Loss: 0.000182, FC Loss: 0.000000
Epoch 78: Loss: 0.000194, Rec Loss: 0.000193, FC Loss: 0.000000
Epoch 79: Loss: 0.000175, Rec Loss: 0.000175, FC Loss: 0.000000
Epoch 80: Loss: 0.000168, Rec Loss: 0.000168, FC Loss: 0.000000
Epoch 81: Loss: 0.000188, Rec Loss: 0.000187, FC Loss: 0.000000
Epoch 82: Loss: 0.000171, Rec Loss: 0.000171, FC Loss: 0.000000
Epoch 83: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 84: Loss: 0.000181, Rec Loss: 0.000181, FC Loss: 0.000000
Epoch 85: Loss: 0.000179, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 86: Loss: 0.000190, Rec Loss: 0.000189, FC Loss: 0.000000
Epoch 87: Loss: 0.000166, Rec Loss: 0.000166, FC Loss: 0.000000
Epoch 88: Loss: 0.000213, Rec Loss: 0.000212, FC Loss: 0.000000
Epoch 89: Loss: 0.000186, Rec Loss: 0.000186, FC Loss: 0.000000
Epoch 90: Loss: 0.000163, Rec Loss: 0.000163, FC Loss: 0.000000
Epoch 91: Loss: 0.000178, Rec Loss: 0.000178, FC Loss: 0.000000
Epoch 92: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
Epoch 93: Loss: 0.000184, Rec Loss: 0.000184, FC Loss: 0.000000
Epoch 94: Loss: 0.000177, Rec Loss: 0.000177, FC Loss: 0.000000
Epoch 95: Loss: 0.000170, Rec Loss: 0.000170, FC Loss: 0.000000
