Epoch 0: Loss: 0.012855, Rec Loss: 0.012855, FC Loss: 0.000000
Epoch 1: Loss: 0.003709, Rec Loss: 0.003709, FC Loss: 0.000000
Epoch 2: Loss: 0.003090, Rec Loss: 0.003090, FC Loss: 0.000000
Epoch 3: Loss: 0.002780, Rec Loss: 0.002780, FC Loss: 0.000000
Epoch 4: Loss: 0.002535, Rec Loss: 0.002535, FC Loss: 0.000000
Epoch 5: Loss: 0.002122, Rec Loss: 0.002122, FC Loss: 0.000000
Epoch 6: Loss: 0.001934, Rec Loss: 0.001934, FC Loss: 0.000000
Epoch 7: Loss: 0.001817, Rec Loss: 0.001817, FC Loss: 0.000000
Epoch 8: Loss: 0.001725, Rec Loss: 0.001725, FC Loss: 0.000000
Epoch 9: Loss: 0.001653, Rec Loss: 0.001653, FC Loss: 0.000000
Epoch 10: Loss: 0.001574, Rec Loss: 0.001574, FC Loss: 0.000000
Epoch 11: Loss: 0.001568, Rec Loss: 0.001568, FC Loss: 0.000000
Epoch 12: Loss: 0.001401, Rec Loss: 0.001401, FC Loss: 0.000000
Epoch 13: Loss: 0.001412, Rec Loss: 0.001412, FC Loss: 0.000000
Epoch 14: Loss: 0.001296, Rec Loss: 0.001296, FC Loss: 0.000000
Epoch 15: Loss: 0.001345, Rec Loss: 0.001345, FC Loss: 0.000000
Epoch 16: Loss: 0.001198, Rec Loss: 0.001198, FC Loss: 0.000000
Epoch 17: Loss: 0.001142, Rec Loss: 0.001142, FC Loss: 0.000000
Epoch 18: Loss: 0.001125, Rec Loss: 0.001125, FC Loss: 0.000000
Epoch 19: Loss: 0.001132, Rec Loss: 0.001132, FC Loss: 0.000000
Epoch 20: Loss: 0.001097, Rec Loss: 0.001097, FC Loss: 0.000000
Epoch 21: Loss: 0.001064, Rec Loss: 0.001064, FC Loss: 0.000000
Epoch 22: Loss: 0.001036, Rec Loss: 0.001036, FC Loss: 0.000000
Epoch 23: Loss: 0.000955, Rec Loss: 0.000955, FC Loss: 0.000000
Epoch 24: Loss: 0.000967, Rec Loss: 0.000967, FC Loss: 0.000000
Epoch 25: Loss: 0.000955, Rec Loss: 0.000955, FC Loss: 0.000000
Epoch 26: Loss: 0.000907, Rec Loss: 0.000907, FC Loss: 0.000000
Epoch 27: Loss: 0.000908, Rec Loss: 0.000908, FC Loss: 0.000000
Epoch 28: Loss: 0.000927, Rec Loss: 0.000927, FC Loss: 0.000000
Epoch 29: Loss: 0.000860, Rec Loss: 0.000860, FC Loss: 0.000000
Epoch 30: Loss: 0.000898, Rec Loss: 0.000898, FC Loss: 0.000000
Epoch 31: Loss: 0.000836, Rec Loss: 0.000836, FC Loss: 0.000000
Epoch 32: Loss: 0.000835, Rec Loss: 0.000835, FC Loss: 0.000000
Epoch 33: Loss: 0.000848, Rec Loss: 0.000848, FC Loss: 0.000000
Epoch 34: Loss: 0.000766, Rec Loss: 0.000766, FC Loss: 0.000000
Epoch 35: Loss: 0.000841, Rec Loss: 0.000841, FC Loss: 0.000000
Epoch 36: Loss: 0.000741, Rec Loss: 0.000741, FC Loss: 0.000000
Epoch 37: Loss: 0.000772, Rec Loss: 0.000772, FC Loss: 0.000000
Epoch 38: Loss: 0.000756, Rec Loss: 0.000756, FC Loss: 0.000000
Epoch 39: Loss: 0.000743, Rec Loss: 0.000743, FC Loss: 0.000000
Epoch 40: Loss: 0.000738, Rec Loss: 0.000738, FC Loss: 0.000000
Epoch 41: Loss: 0.000722, Rec Loss: 0.000722, FC Loss: 0.000000
Epoch 42: Loss: 0.000758, Rec Loss: 0.000758, FC Loss: 0.000000
Epoch 43: Loss: 0.000710, Rec Loss: 0.000710, FC Loss: 0.000000
Epoch 44: Loss: 0.000757, Rec Loss: 0.000757, FC Loss: 0.000000
Epoch 45: Loss: 0.000662, Rec Loss: 0.000662, FC Loss: 0.000000
Epoch 46: Loss: 0.000671, Rec Loss: 0.000671, FC Loss: 0.000000
Epoch 47: Loss: 0.000687, Rec Loss: 0.000687, FC Loss: 0.000000
Epoch 48: Loss: 0.000656, Rec Loss: 0.000656, FC Loss: 0.000000
Epoch 49: Loss: 0.000701, Rec Loss: 0.000701, FC Loss: 0.000000
Epoch 50: Loss: 0.000657, Rec Loss: 0.000657, FC Loss: 0.000000
Epoch 51: Loss: 0.000638, Rec Loss: 0.000638, FC Loss: 0.000000
Epoch 52: Loss: 0.000671, Rec Loss: 0.000671, FC Loss: 0.000000
Epoch 53: Loss: 0.000652, Rec Loss: 0.000652, FC Loss: 0.000000
Epoch 54: Loss: 0.000622, Rec Loss: 0.000622, FC Loss: 0.000000
Epoch 55: Loss: 0.000603, Rec Loss: 0.000603, FC Loss: 0.000000
Epoch 56: Loss: 0.000680, Rec Loss: 0.000680, FC Loss: 0.000000
Epoch 57: Loss: 0.000610, Rec Loss: 0.000610, FC Loss: 0.000000
Epoch 58: Loss: 0.000601, Rec Loss: 0.000601, FC Loss: 0.000000
Epoch 59: Loss: 0.000604, Rec Loss: 0.000604, FC Loss: 0.000000
Epoch 60: Loss: 0.000622, Rec Loss: 0.000622, FC Loss: 0.000000
Epoch 61: Loss: 0.000586, Rec Loss: 0.000586, FC Loss: 0.000000
Epoch 62: Loss: 0.000594, Rec Loss: 0.000594, FC Loss: 0.000000
Epoch 63: Loss: 0.000591, Rec Loss: 0.000591, FC Loss: 0.000000
Epoch 64: Loss: 0.000584, Rec Loss: 0.000584, FC Loss: 0.000000
Epoch 65: Loss: 0.000585, Rec Loss: 0.000585, FC Loss: 0.000000
Epoch 66: Loss: 0.000536, Rec Loss: 0.000536, FC Loss: 0.000000
Epoch 67: Loss: 0.000589, Rec Loss: 0.000589, FC Loss: 0.000000
Epoch 68: Loss: 0.000595, Rec Loss: 0.000595, FC Loss: 0.000000
Epoch 69: Loss: 0.000535, Rec Loss: 0.000535, FC Loss: 0.000000
Epoch 70: Loss: 0.000590, Rec Loss: 0.000590, FC Loss: 0.000000
Epoch 71: Loss: 0.000549, Rec Loss: 0.000549, FC Loss: 0.000000
