Epoch 0: Loss: 0.012833, Rec Loss: 0.012833, FC Loss: 0.000000
Epoch 1: Loss: 0.004279, Rec Loss: 0.004279, FC Loss: 0.000000
Epoch 2: Loss: 0.003307, Rec Loss: 0.003307, FC Loss: 0.000000
Epoch 3: Loss: 0.002865, Rec Loss: 0.002865, FC Loss: 0.000000
Epoch 4: Loss: 0.002709, Rec Loss: 0.002709, FC Loss: 0.000000
Epoch 5: Loss: 0.002407, Rec Loss: 0.002407, FC Loss: 0.000000
Epoch 6: Loss: 0.002167, Rec Loss: 0.002167, FC Loss: 0.000000
Epoch 7: Loss: 0.001962, Rec Loss: 0.001962, FC Loss: 0.000000
Epoch 8: Loss: 0.001769, Rec Loss: 0.001769, FC Loss: 0.000000
Epoch 9: Loss: 0.001670, Rec Loss: 0.001670, FC Loss: 0.000000
Epoch 10: Loss: 0.001576, Rec Loss: 0.001576, FC Loss: 0.000000
Epoch 11: Loss: 0.001459, Rec Loss: 0.001459, FC Loss: 0.000000
Epoch 12: Loss: 0.001487, Rec Loss: 0.001487, FC Loss: 0.000000
Epoch 13: Loss: 0.001341, Rec Loss: 0.001341, FC Loss: 0.000000
Epoch 14: Loss: 0.001263, Rec Loss: 0.001263, FC Loss: 0.000000
Epoch 15: Loss: 0.001273, Rec Loss: 0.001273, FC Loss: 0.000000
Epoch 16: Loss: 0.001294, Rec Loss: 0.001294, FC Loss: 0.000000
Epoch 17: Loss: 0.001187, Rec Loss: 0.001187, FC Loss: 0.000000
Epoch 18: Loss: 0.001139, Rec Loss: 0.001139, FC Loss: 0.000000
Epoch 19: Loss: 0.001126, Rec Loss: 0.001126, FC Loss: 0.000000
Epoch 20: Loss: 0.001153, Rec Loss: 0.001153, FC Loss: 0.000000
Epoch 21: Loss: 0.001016, Rec Loss: 0.001016, FC Loss: 0.000000
Epoch 22: Loss: 0.001034, Rec Loss: 0.001034, FC Loss: 0.000000
Epoch 23: Loss: 0.001007, Rec Loss: 0.001007, FC Loss: 0.000000
Epoch 24: Loss: 0.001004, Rec Loss: 0.001004, FC Loss: 0.000000
Epoch 25: Loss: 0.000950, Rec Loss: 0.000950, FC Loss: 0.000000
Epoch 26: Loss: 0.000931, Rec Loss: 0.000931, FC Loss: 0.000000
Epoch 27: Loss: 0.000916, Rec Loss: 0.000916, FC Loss: 0.000000
Epoch 28: Loss: 0.000900, Rec Loss: 0.000900, FC Loss: 0.000000
Epoch 29: Loss: 0.000870, Rec Loss: 0.000870, FC Loss: 0.000000
Epoch 30: Loss: 0.000855, Rec Loss: 0.000855, FC Loss: 0.000000
Epoch 31: Loss: 0.000889, Rec Loss: 0.000889, FC Loss: 0.000000
Epoch 32: Loss: 0.000794, Rec Loss: 0.000794, FC Loss: 0.000000
Epoch 33: Loss: 0.000897, Rec Loss: 0.000897, FC Loss: 0.000000
Epoch 34: Loss: 0.000796, Rec Loss: 0.000796, FC Loss: 0.000000
Epoch 35: Loss: 0.000768, Rec Loss: 0.000768, FC Loss: 0.000000
Epoch 36: Loss: 0.000794, Rec Loss: 0.000794, FC Loss: 0.000000
Epoch 37: Loss: 0.000809, Rec Loss: 0.000809, FC Loss: 0.000000
Epoch 38: Loss: 0.000728, Rec Loss: 0.000728, FC Loss: 0.000000
Epoch 39: Loss: 0.000762, Rec Loss: 0.000762, FC Loss: 0.000000
Epoch 40: Loss: 0.000714, Rec Loss: 0.000714, FC Loss: 0.000000
Epoch 41: Loss: 0.000760, Rec Loss: 0.000760, FC Loss: 0.000000
Epoch 42: Loss: 0.000711, Rec Loss: 0.000711, FC Loss: 0.000000
Epoch 43: Loss: 0.000694, Rec Loss: 0.000694, FC Loss: 0.000000
Epoch 44: Loss: 0.000736, Rec Loss: 0.000736, FC Loss: 0.000000
Epoch 45: Loss: 0.000677, Rec Loss: 0.000677, FC Loss: 0.000000
Epoch 46: Loss: 0.000678, Rec Loss: 0.000678, FC Loss: 0.000000
Epoch 47: Loss: 0.000664, Rec Loss: 0.000664, FC Loss: 0.000000
Epoch 48: Loss: 0.000655, Rec Loss: 0.000655, FC Loss: 0.000000
Epoch 49: Loss: 0.000729, Rec Loss: 0.000729, FC Loss: 0.000000
Epoch 50: Loss: 0.000624, Rec Loss: 0.000624, FC Loss: 0.000000
Epoch 51: Loss: 0.000677, Rec Loss: 0.000677, FC Loss: 0.000000
Epoch 52: Loss: 0.000606, Rec Loss: 0.000606, FC Loss: 0.000000
Epoch 53: Loss: 0.000680, Rec Loss: 0.000680, FC Loss: 0.000000
Epoch 54: Loss: 0.000668, Rec Loss: 0.000668, FC Loss: 0.000000
Epoch 55: Loss: 0.000629, Rec Loss: 0.000629, FC Loss: 0.000000
