Epoch 0: Loss: 0.013874, Rec Loss: 0.013874, FC Loss: 0.000000
Epoch 1: Loss: 0.004083, Rec Loss: 0.004083, FC Loss: 0.000000
Epoch 2: Loss: 0.003272, Rec Loss: 0.003272, FC Loss: 0.000000
Epoch 3: Loss: 0.002848, Rec Loss: 0.002848, FC Loss: 0.000000
Epoch 4: Loss: 0.002592, Rec Loss: 0.002592, FC Loss: 0.000000
Epoch 5: Loss: 0.002260, Rec Loss: 0.002260, FC Loss: 0.000000
Epoch 6: Loss: 0.002078, Rec Loss: 0.002078, FC Loss: 0.000000
Epoch 7: Loss: 0.001819, Rec Loss: 0.001819, FC Loss: 0.000000
Epoch 8: Loss: 0.001831, Rec Loss: 0.001831, FC Loss: 0.000000
Epoch 9: Loss: 0.001561, Rec Loss: 0.001561, FC Loss: 0.000000
Epoch 10: Loss: 0.001493, Rec Loss: 0.001493, FC Loss: 0.000000
Epoch 11: Loss: 0.001468, Rec Loss: 0.001468, FC Loss: 0.000000
Epoch 12: Loss: 0.001331, Rec Loss: 0.001331, FC Loss: 0.000000
Epoch 13: Loss: 0.001287, Rec Loss: 0.001287, FC Loss: 0.000000
Epoch 14: Loss: 0.001249, Rec Loss: 0.001249, FC Loss: 0.000000
Epoch 15: Loss: 0.001214, Rec Loss: 0.001214, FC Loss: 0.000000
Epoch 16: Loss: 0.001147, Rec Loss: 0.001147, FC Loss: 0.000000
Epoch 17: Loss: 0.001108, Rec Loss: 0.001108, FC Loss: 0.000000
